text,type
- дашаа а почему алиночка в чем подвох?) - не в чем это у я к ты любовь такая. ахи как мило не правда ли:d,1
@kot_xa33bl ты заипасть писать в отклики(((((,0
@schutskaya кстати я скучать по джаббе... :(((,0
пиздец  граждане! чтобы запустить прога размер 160 килобайт  надо скачать dotnet framework 3.5 метр в 300 =),1
где-то на это момент я потянуть связки. :-( http://t.co/w2phv3e5me,0
как жаль что учиться на свой ошибка это про я и вскоре я весь потеряю(,0
ухаха! the calling — wherever you will go! уж не затюниться ли я по ошибка на лав-радио? :(,0
опилка в голов не только у винни-пух ) http://t.co/momd4d3gs3 с помощь @youtube,1
с пятницой народ) весь помнить это червяк тусовщика?) http://t.co/rfzs2zjcui,1
rt @talessoo: когда то я это писала. написать ещё раз @goodfuck_luck   ты просто мастер игнора :* ахахи,1
я адски весёлый .чертовски умный офигительный красивый  смелый  очаровательный сногшибательный и нереально скромная))),1
rt @yjosirob: вот же говно этот религиозный праздники. половина москва перекрыть :( я-то тут при чем?!,0
@ananasf я не хотеть  чтобы ты уходила. но малоличегояхочу. ты решать :(,0
rt @jorytaxenaz: любопытно — я производить впечатление профессионала? :),1
@pahomich90 точно подметить  я человек остаться поход :d,1
18-ть день вес чуток упасть т.к. вчера почти не кушать (( настроение отсутствовало. http://t.co/vz4gtjwvvt,0
@blackbow228 @nazarkhomiv я більша знать дівчат які навпаки. хрен заткнеш),1
rt @kazajaxemabi: 1) я считать  что надо преподавать именно .net языки.  то есть http://t.co/bjol4r7omx или c#.net. отличие платформа .net о…,1
а вы тоже бесить когда ваш парень тормозить при ответ на смс?))),1
@andreeva_ns @milky_way05 ты чего:d я вообще один быть кататься:d,1
а они уметь хтмл5 в браузер с поддержка видео и аудио кодековый любых? а то хром на винд не потянуть видео многий :(,0
rt @vasilykonov: прекрасно ж! выспимся)) россия - южный корея - 18 июнь  02.00 мск бельгия - россия - 23 июнь  02.00 мск алжир - россия - …,1
rt @elkin_v: с днём рождение @azechka! счастие  здоровье  удача и всего самый хороший :),1
@huy_fandom ок)))) только люба каприз за ваш сасай))))))),1
@_pelipenko_ иногда они стрелять в глаз сок при чистка х),1
@fuckthemylife_ ты до нея просто далеко0) не понять нихуя0),1
вконтакте можно так легко поменять гражданство..) http://t.co/rwnoj8mzi0,1
@ninnel @atlantida819 у мы завтра должный начаться :(,0
rt @pillsa5: россия топить литовский клайпедский порт!!!))))допизделиться педераст литовский политикан недоразвитые!!!)) http://t.co/fwt3m9k…,1
завтра у отец др. я купить шоколадку:-----------------------------------------) ибо забыть взять деньга вчера,1
rt @ofitserovajj: а ещё под амнистия попадать сотрудник орган внутренний дело рф  учреждение и орган фсин (((,0
спать ложиться бесполезно. ибо весь равно быть звонок и я не посплю:),1
собраться как то за быстро :( надо быть спать ещё 10 мина,0
а вообще  решить даша сэкономить немного...итог стать неравномерный цвета на волос  который я столько время добиваться ((((,0
