text,type
"- Дашаа,а почему Алиночка,в чем подвох?)
- Не в чем,это у меня к тебе любовь такая. ахах как мило,не правда ли:D",1
"@KOT_XA33bl ты заипал
пиши в отклики(((((",0
@schutskaya кстати я скучаю по Джаббе... :(((,0
"Пиздец, граждане! Чтобы запустить прогу размером 160 килобайт, надо скачать dotNet framework 3.5 метров в 300 =)",1
Где-то на этом моменте я потянула связки. :-( http://t.co/W2PHV3e5ME,0
"Как жаль,что учатся на Своих ошибках это про меня и вскоре я всё потеряю(",0
ухаха! The Calling — Wherever You Will Go! уж не затюнился ли я по ошибке на Лав-радио? :(,0
Опилки в голове не только у Винни-Пуха ) http://t.co/MoMd4d3gs3 с помощью @youtube,1
С пятницой народ) все помнят этого червяка тусовщика?) http://t.co/rfZs2zjcUI,1
"RT @talessoo: когда то я это писала. 
напишу еще раз
@goodfuck_luck , ты просто мастер игнора :* 
ахахах",1
"Я адски весёлая,.чертовски умная,офигительно красивая, смелая, очаровательная,сногшибательная и  нереально скромная)))",1
RT @yjosirob: Вот же говно эти религиозные праздники. Пол Москвы перекрыли :( Я-то тут при чем?!,0
"@AnanasF  я не хочу, чтобы ты уходила. но малоличегояхочу. Тебе решать :(",0
RT @jorytaxenaz: Любопытно — я произвожу впечатление профессионала? :),1
"@pahomich90 точно подмечено, я человеком остался походу :D",1
18-й день вес чуток упал т.к. вчера почти не кушал (( настроение отсутствовало. http://t.co/vZ4GTjwvvt,0
"@blackbow228 @NazarKhomiv я більше знаю дівчат,які навпаки. Хрен заткнеш)",1
"RT @kazajaxemabi: 1) Я считаю, что надо преподавать именно .NET языки., то есть http://t.co/bJOL4r7omX или C#.Net. Отличие платформы .Net о…",1
А вас тоже бесит когда ваш парень тормозит при ответе на смс?))),1
@Andreeva_Ns @milky_way05 ты чего:D я вообще одна буду кататься:D,1
а они умеют хтмл5 в браузере с поддержкой видео и аудио кодеков любых? А то хром на винде не потянул видео многое :(,0
"RT @VasilyKonov: Прекрасно ж! Выспимся)) Россия - Южная Корея - 18 июня, 02.00 мск
Бельгия - Россия - 23 июня, 02.00 мск
Алжир - Россия  - …",1
"RT @elkin_v: С Днём рождения @azechka! Счастья, здоровья, удачи и всего самого наилучшего :)",1
"@huy_fandom  ок))))
только любой каприз за ваш сасай)))))))",1
@_Pelipenko_ иногда они стреляют в глаз соком при чистке х),1
@fuckthemylife_ тебе до нее просто далеко0) не поймешь нихуя0),1
Вконтакте можно так легко поменять гражданство..) http://t.co/RwNoj8MzI0,1
@Ninnel @Atlantida819 У нас завтра должен начаться :(,0
RT @pillSa5: Россия топит литовский Клайпедский порт!!!))))ДОПИЗДЕЛИСЬ ПЕДЕРАСТЫ ЛИТОВСКИЕ ПОЛИТИКАНЫ НЕДОРАЗВИТЫЕ!!!)) http://t.co/FwT3M9k…,1
завтра у отца др. я купил шоколадку:-----------------------------------------) ибо забыл взять деньги вчера,1
"RT @ofitserovajj: А еще под амнистию попадают сотрудники органов внутренних дел РФ, учреждение и органов ФСИН

(((",0
спать ложится бесполезно. ибо все равно будут звонки и я не посплю:),1
Собралась как то за быстро :( надо было спать еще 10 мин,0
"а вообще, решила Даша сэкономить немного...итогом стал неравномерный цвет на волосах, который я столько времени добивалась ((((",0
благодаря   пополнился мой набор юного мага :-). теперь хотеть еще эьфийский каффы!,1
"с толстожопой АРИНОЙ кароч
а я худышка,да :| http://t.co/KCO4rSCu9u",0
1 випав сн1г!!!!!!!!!!!!!!!! 1 валить валить валить шо хз як я зхати вийду на трен)))) то п14аль,1
"RT @xyxucijufov: Прошел, и что? Только хуже стало, в офисе топор можно повесить от духоты. Вся жопа уже мокрая(((",0
Дааа я еще ребенок и мне еще расти и расти((((это ж в 18 лет!,0
RT @1Manuel1Neuer1: @sleep_my_love бедная(,0
RT @memonigetoz: вычитал тут в гугловском style-guide ( ma,0
стал микуфагом. Надо ему пакованчик вокалойдов скормить. =),1
@AlexandrMihalev странные)) эйфории и блаженства не ощутила :D,1
